order_id,user_id,username,order_date,delivery_date,order_status,item_id,product_name,category,section,quantity,unit,price_per_unit,line_total,is_organic,producer_name,city,postcode
1,8,eve.taylor8,2025-02-16,2025-02-22,fulfilled,1,Cheese,dairy,all,2,each,4.46,8.92,False,Green Valley Farm,Bristol,BS2 8QD
1,8,eve.taylor8,2025-02-16,2025-02-22,fulfilled,2,Broccoli,vegetables,all,1,each,1.89,1.89,True,Green Valley Farm,Bristol,BS2 8QD
2,71,karen.jones71,2024-04-10,2024-04-11,fulfilled,3,Rhubarb,fruits,seasonal,2,each,2.08,4.16,False,Avon Growers,Bristol,BS9 1JB
3,62,sam.walker62,2024-08-06,2024-08-13,fulfilled,4,Gooseberries,fruits,seasonal,3,each,2.92,8.76,False,Cotswold Fresh,Bristol,BS1 4PJ
3,62,sam.walker62,2024-08-06,2024-08-13,fulfilled,5,Apples,fruits,seasonal,4,kg,1.84,7.36,True,Cotswold Fresh,Bristol,BS1 4PJ
3,62,sam.walker62,2024-08-06,2024-08-13,fulfilled,6,Wholemeal Bread,bakery,all,6,each,2.86,17.16,False,Cotswold Fresh,Bristol,BS1 4PJ
3,62,sam.walker62,2024-08-06,2024-08-13,fulfilled,7,Plums,fruits,seasonal,2,each,2.62,5.24,True,Cotswold Fresh,Bristol,BS1 4PJ
4,75,rachel.walker75,2025-07-09,2025-07-10,fulfilled,8,Honey,preserves,all,2,each,4.78,9.56,True,Avon Growers,Bristol,BS1 4PJ
4,75,rachel.walker75,2025-07-09,2025-07-10,fulfilled,9,Strawberry Jam,preserves,all,1,each,3.23,3.23,False,Avon Growers,Bristol,BS1 4PJ
4,75,rachel.walker75,2025-07-09,2025-07-10,fulfilled,10,Red Onions,vegetables,all,4,kg,1.06,4.24,False,Avon Growers,Bristol,BS1 4PJ
4,75,rachel.walker75,2025-07-09,2025-07-10,fulfilled,11,Red Onions,vegetables,all,5,kg,1.11,5.55,False,Avon Growers,Bristol,BS1 4PJ
4,75,rachel.walker75,2025-07-09,2025-07-10,fulfilled,12,Chutney,preserves,all,6,each,3.53,21.18,False,Avon Growers,Bristol,BS1 4PJ
5,67,sam.roberts67,2024-11-19,2024-11-22,fulfilled,13,Leeks,vegetables,seasonal,4,each,1.28,5.12,False,Green Valley Farm,Bristol,BS6 7NR
5,67,sam.roberts67,2024-11-19,2024-11-22,fulfilled,14,Potatoes,vegetables,all,1,kg,1.49,1.49,False,Green Valley Farm,Bristol,BS6 7NR
5,67,sam.roberts67,2024-11-19,2024-11-22,fulfilled,15,Broccoli,vegetables,all,1,each,1.91,1.91,True,Green Valley Farm,Bristol,BS6 7NR
6,65,frank.jones65,2024-09-28,2024-09-30,partially_fulfilled,16,Honey,preserves,all,5,each,5.1,25.5,True,Green Valley Farm,Bristol,BS2 8QD
6,65,frank.jones65,2024-09-28,2024-09-30,partially_fulfilled,17,Sourdough Loaf,bakery,all,6,each,3.61,21.66,False,Green Valley Farm,Bristol,BS2 8QD
6,65,frank.jones65,2024-09-28,2024-09-30,partially_fulfilled,18,Wholemeal Bread,bakery,all,2,each,2.73,5.46,False,Green Valley Farm,Bristol,BS2 8QD
7,14,henry.brown14,2025-07-20,2025-07-22,fulfilled,19,Honey,preserves,all,3,each,5.0,15.0,True,Green Valley Farm,Bristol,BS10 5EX
7,14,henry.brown14,2025-07-20,2025-07-22,fulfilled,20,Tomatoes,vegetables,all,1,kg,1.82,1.82,False,Green Valley Farm,Bristol,BS10 5EX
7,14,henry.brown14,2025-07-20,2025-07-22,fulfilled,21,Carrots,vegetables,all,1,kg,1.18,1.18,False,Green Valley Farm,Bristol,BS10 5EX
8,17,tara.johnson17,2025-10-14,2025-10-17,fulfilled,22,Sourdough Loaf,bakery,all,6,each,3.64,21.84,False,Severn Side Produce,Bristol,BS8 2HY
8,17,tara.johnson17,2025-10-14,2025-10-17,fulfilled,23,Wholemeal Bread,bakery,all,5,each,2.81,14.05,False,Severn Side Produce,Bristol,BS8 2HY
8,17,tara.johnson17,2025-10-14,2025-10-17,fulfilled,24,Sourdough Loaf,bakery,all,3,each,3.45,10.35,False,Severn Side Produce,Bristol,BS8 2HY
8,17,tara.johnson17,2025-10-14,2025-10-17,fulfilled,25,Carrots,vegetables,all,3,kg,1.17,3.51,False,Severn Side Produce,Bristol,BS8 2HY
8,17,tara.johnson17,2025-10-14,2025-10-17,fulfilled,26,Sourdough Loaf,bakery,all,3,each,3.6,10.8,False,Severn Side Produce,Bristol,BS8 2HY
9,53,henry.taylor53,2025-09-27,2025-10-03,fulfilled,27,Tomatoes,vegetables,all,2,kg,1.84,3.68,False,Cotswold Fresh,Bristol,BS4 3EW
9,53,henry.taylor53,2025-09-27,2025-10-03,fulfilled,28,Whole Milk,dairy,all,6,l,1.24,7.44,False,Cotswold Fresh,Bristol,BS4 3EW
10,32,isla.thomas32,2024-09-30,2024-10-02,fulfilled,29,Butternut Squash,vegetables,seasonal,2,each,2.27,4.54,False,Severn Side Produce,Bristol,BS2 8QD
11,59,mia.smith59,2024-12-24,2024-12-27,paid,30,Red Onions,vegetables,all,3,kg,1.08,3.24,False,Green Valley Farm,Bristol,BS4 3EW
12,9,charlie.evans9,2024-10-12,2024-10-15,fulfilled,31,Leeks,vegetables,seasonal,2,each,1.31,2.62,False,River Bend Nursery,Bristol,BS7 8AT
13,34,grace.williams34,2024-02-09,2024-02-10,fulfilled,32,Chutney,preserves,all,1,each,3.46,3.46,False,River Bend Nursery,Bristol,BS6 7NR
13,34,grace.williams34,2024-02-09,2024-02-10,fulfilled,33,Yoghurt,dairy,all,1,each,1.84,1.84,True,River Bend Nursery,Bristol,BS6 7NR
13,34,grace.williams34,2024-02-09,2024-02-10,fulfilled,34,Chutney,preserves,all,6,each,3.58,21.48,False,River Bend Nursery,Bristol,BS6 7NR
13,34,grace.williams34,2024-02-09,2024-02-10,fulfilled,35,Whole Milk,dairy,all,2,l,1.18,2.36,False,River Bend Nursery,Bristol,BS6 7NR
14,9,charlie.evans9,2025-11-11,2025-11-14,fulfilled,36,Kale,vegetables,all,3,each,1.49,4.47,True,Mendip Hills Farm,Bristol,BS2 8QD
14,9,charlie.evans9,2025-11-11,2025-11-14,fulfilled,37,Potatoes,vegetables,all,2,kg,1.49,2.98,False,Mendip Hills Farm,Bristol,BS2 8QD
14,9,charlie.evans9,2025-11-11,2025-11-14,fulfilled,38,Butternut Squash,vegetables,seasonal,5,each,2.22,11.1,False,Mendip Hills Farm,Bristol,BS2 8QD
14,9,charlie.evans9,2025-11-11,2025-11-14,fulfilled,39,Tomatoes,vegetables,all,3,kg,1.76,5.28,False,Mendip Hills Farm,Bristol,BS2 8QD
14,9,charlie.evans9,2025-11-11,2025-11-14,fulfilled,40,Wholemeal Bread,bakery,all,5,each,2.84,14.2,False,Mendip Hills Farm,Bristol,BS2 8QD
15,60,jack.evans60,2025-03-28,2025-04-01,fulfilled,41,Sourdough Loaf,bakery,all,5,each,3.56,17.8,False,Wye Valley Growers,Bristol,BS9 1JB
15,60,jack.evans60,2025-03-28,2025-04-01,fulfilled,42,Carrots,vegetables,all,2,kg,1.22,2.44,False,Wye Valley Growers,Bristol,BS9 1JB
16,29,quinn.brown29,2024-07-22,2024-07-24,fulfilled,43,Potatoes,vegetables,all,4,kg,1.49,5.96,False,Wye Valley Growers,Bristol,BS4 3EW
16,29,quinn.brown29,2024-07-22,2024-07-24,fulfilled,44,Blackberries,fruits,seasonal,6,each,3.26,19.56,True,Wye Valley Growers,Bristol,BS4 3EW
16,29,quinn.brown29,2024-07-22,2024-07-24,fulfilled,45,Blackberries,fruits,seasonal,2,each,3.25,6.5,True,Wye Valley Growers,Bristol,BS4 3EW
16,29,quinn.brown29,2024-07-22,2024-07-24,fulfilled,46,Raspberries,fruits,seasonal,4,each,3.69,14.76,True,Wye Valley Growers,Bristol,BS4 3EW
16,29,quinn.brown29,2024-07-22,2024-07-24,fulfilled,47,Whole Milk,dairy,all,4,l,1.15,4.6,False,Wye Valley Growers,Bristol,BS4 3EW
17,32,isla.thomas32,2024-05-04,2024-05-08,fulfilled,48,Cheese,dairy,all,4,each,4.65,18.6,False,River Bend Nursery,Bristol,BS8 2HY
17,32,isla.thomas32,2024-05-04,2024-05-08,fulfilled,49,Potatoes,vegetables,all,6,kg,1.55,9.3,False,River Bend Nursery,Bristol,BS8 2HY
17,32,isla.thomas32,2024-05-04,2024-05-08,fulfilled,50,Spinach,vegetables,seasonal,6,each,1.37,8.22,True,River Bend Nursery,Bristol,BS8 2HY
17,32,isla.thomas32,2024-05-04,2024-05-08,fulfilled,51,Strawberry Jam,preserves,all,6,each,3.12,18.72,False,River Bend Nursery,Bristol,BS8 2HY
18,57,henry.williams57,2024-03-20,2024-03-26,fulfilled,52,Potatoes,vegetables,all,2,kg,1.45,2.9,False,River Bend Nursery,Bristol,BS5 6HX
18,57,henry.williams57,2024-03-20,2024-03-26,fulfilled,53,Cheese,dairy,all,6,each,4.37,26.22,False,River Bend Nursery,Bristol,BS5 6HX
18,57,henry.williams57,2024-03-20,2024-03-26,fulfilled,54,Whole Milk,dairy,all,5,l,1.2,6.0,False,River Bend Nursery,Bristol,BS5 6HX
19,8,eve.taylor8,2024-07-30,2024-08-06,fulfilled,55,Tomatoes,vegetables,all,3,kg,1.76,5.28,False,Avon Growers,Bristol,BS10 5EX
19,8,eve.taylor8,2024-07-30,2024-08-06,fulfilled,56,Cheese,dairy,all,5,each,4.61,23.05,False,Avon Growers,Bristol,BS10 5EX
19,8,eve.taylor8,2024-07-30,2024-08-06,fulfilled,57,Red Onions,vegetables,all,4,kg,1.07,4.28,False,Avon Growers,Bristol,BS10 5EX
19,8,eve.taylor8,2024-07-30,2024-08-06,fulfilled,58,Tomatoes,vegetables,all,4,kg,1.77,7.08,False,Avon Growers,Bristol,BS10 5EX
19,8,eve.taylor8,2024-07-30,2024-08-06,fulfilled,59,Gooseberries,fruits,seasonal,6,each,2.71,16.26,False,Avon Growers,Bristol,BS10 5EX
20,60,jack.evans60,2024-05-10,2024-05-15,fulfilled,60,Potatoes,vegetables,all,4,kg,1.45,5.8,False,Avon Growers,Bristol,BS7 8AT
21,34,grace.williams34,2025-01-23,2025-01-26,fulfilled,61,Strawberry Jam,preserves,all,3,each,3.31,9.93,False,River Bend Nursery,Bristol,BS6 7NR
21,34,grace.williams34,2025-01-23,2025-01-26,fulfilled,62,Honey,preserves,all,5,each,4.78,23.9,True,River Bend Nursery,Bristol,BS6 7NR
21,34,grace.williams34,2025-01-23,2025-01-26,fulfilled,63,Broccoli,vegetables,all,6,each,1.82,10.92,True,River Bend Nursery,Bristol,BS6 7NR
21,34,grace.williams34,2025-01-23,2025-01-26,fulfilled,64,Tomatoes,vegetables,all,1,kg,1.88,1.88,False,River Bend Nursery,Bristol,BS6 7NR
22,26,peter.jones26,2024-01-21,2024-01-26,fulfilled,65,Cheese,dairy,all,4,each,4.59,18.36,False,Wye Valley Growers,Bristol,BS3 1LZ
23,48,grace.thomas48,2024-06-20,2024-06-25,fulfilled,66,Tomatoes,vegetables,all,3,kg,1.81,5.43,False,Cotswold Fresh,Bristol,BS2 8QD
23,48,grace.thomas48,2024-06-20,2024-06-25,fulfilled,67,Sourdough Loaf,bakery,all,4,each,3.65,14.6,False,Cotswold Fresh,Bristol,BS2 8QD
23,48,grace.thomas48,2024-06-20,2024-06-25,fulfilled,68,Whole Milk,dairy,all,6,l,1.24,7.44,False,Cotswold Fresh,Bristol,BS2 8QD
24,32,isla.thomas32,2024-04-14,2024-04-20,fulfilled,69,Whole Milk,dairy,all,5,l,1.19,5.95,False,Bristol Organics,Bristol,BS10 5EX
24,32,isla.thomas32,2024-04-14,2024-04-20,fulfilled,70,Whole Milk,dairy,all,6,l,1.18,7.08,False,Bristol Organics,Bristol,BS10 5EX
24,32,isla.thomas32,2024-04-14,2024-04-20,fulfilled,71,Honey,preserves,all,1,each,4.97,4.97,True,Bristol Organics,Bristol,BS10 5EX
24,32,isla.thomas32,2024-04-14,2024-04-20,fulfilled,72,Cheese,dairy,all,6,each,4.34,26.04,False,Bristol Organics,Bristol,BS10 5EX
24,32,isla.thomas32,2024-04-14,2024-04-20,fulfilled,73,Whole Milk,dairy,all,6,l,1.17,7.02,False,Bristol Organics,Bristol,BS10 5EX
25,69,karen.brown69,2025-05-10,2025-05-14,fulfilled,74,Potatoes,vegetables,all,3,kg,1.56,4.68,False,Mendip Hills Farm,Bristol,BS10 5EX
25,69,karen.brown69,2025-05-10,2025-05-14,fulfilled,75,Red Onions,vegetables,all,5,kg,1.11,5.55,False,Mendip Hills Farm,Bristol,BS10 5EX
25,69,karen.brown69,2025-05-10,2025-05-14,fulfilled,76,Tomatoes,vegetables,all,4,kg,1.86,7.44,False,Mendip Hills Farm,Bristol,BS10 5EX
26,24,isla.walker24,2025-05-14,2025-05-16,fulfilled,77,Strawberries,fruits,seasonal,5,each,3.33,16.65,False,River Bend Nursery,Bristol,BS5 6HX
26,24,isla.walker24,2025-05-14,2025-05-16,fulfilled,78,Potatoes,vegetables,all,2,kg,1.53,3.06,False,River Bend Nursery,Bristol,BS5 6HX
26,24,isla.walker24,2025-05-14,2025-05-16,fulfilled,79,Wholemeal Bread,bakery,all,6,each,2.79,16.74,False,River Bend Nursery,Bristol,BS5 6HX
27,63,bob.smith63,2025-04-03,2025-04-10,fulfilled,80,Wholemeal Bread,bakery,all,6,each,2.82,16.92,False,Green Valley Farm,Bristol,BS5 6HX
27,63,bob.smith63,2025-04-03,2025-04-10,fulfilled,81,Whole Milk,dairy,all,3,l,1.19,3.57,False,Green Valley Farm,Bristol,BS5 6HX
27,63,bob.smith63,2025-04-03,2025-04-10,fulfilled,82,Cheese,dairy,all,3,each,4.59,13.77,False,Green Valley Farm,Bristol,BS5 6HX
27,63,bob.smith63,2025-04-03,2025-04-10,fulfilled,83,Wholemeal Bread,bakery,all,2,each,2.69,5.38,False,Green Valley Farm,Bristol,BS5 6HX
28,25,mia.davies25,2024-11-19,2024-11-20,fulfilled,84,Apples,fruits,seasonal,6,kg,1.82,10.92,True,Green Valley Farm,Bristol,BS3 1LZ
28,25,mia.davies25,2024-11-19,2024-11-20,fulfilled,85,Sourdough Loaf,bakery,all,1,each,3.62,3.62,False,Green Valley Farm,Bristol,BS3 1LZ
29,38,charlie.walker38,2024-08-20,2024-08-23,fulfilled,86,Sourdough Loaf,bakery,all,5,each,3.43,17.15,False,Cotswold Fresh,Bristol,BS1 4PJ
